year,sex,source,scenario,region,ex_mean,ex_ll,ex_ul,ex_sd,lss_mean,lss_ll,lss_ul,lss_sd,case,ex_noc
2021,Females,Historic,NA,Gaza Strip,75.18745774,NA,NA,NA,0.169480245,NA,NA,NA,lc_pcbs_2019,75.35693798
2021,Males,Historic,NA,Gaza Strip,71.10793454,NA,NA,NA,0.459633303,NA,NA,NA,lc_pcbs_2019,71.56756785
2022,Females,Historic,NA,Gaza Strip,77.0974276,NA,NA,NA,0.014849381,NA,NA,NA,lc_pcbs_2019,77.11227698
2022,Males,Historic,NA,Gaza Strip,73.94966028,NA,NA,NA,0.074203191,NA,NA,NA,lc_pcbs_2019,74.02386347
2012,Females,Historic,NA,Palestine,77.98337938,NA,NA,NA,0.033860506,NA,NA,NA,lc_pcbs_2019,78.01723988
2012,Males,Historic,NA,Palestine,73.84885968,NA,NA,NA,0.312536593,NA,NA,NA,lc_pcbs_2019,74.16139627
2013,Females,Historic,NA,Palestine,78.52203085,NA,NA,NA,0.002501424,NA,NA,NA,lc_pcbs_2019,78.52453228
2013,Males,Historic,NA,Palestine,74.82604945,NA,NA,NA,0.042032019,NA,NA,NA,lc_pcbs_2019,74.86808147
2014,Females,Historic,NA,Palestine,77.77225162,NA,NA,NA,0.765423194,NA,NA,NA,lc_pcbs_2019,78.53767482
2014,Males,Historic,NA,Palestine,72.84819743,NA,NA,NA,2.291196954,NA,NA,NA,lc_pcbs_2019,75.13939439
2015,Females,Historic,NA,Palestine,78.6285377,NA,NA,NA,0.015611066,NA,NA,NA,lc_pcbs_2019,78.64414876
2015,Males,Historic,NA,Palestine,74.69555188,NA,NA,NA,0.151851287,NA,NA,NA,lc_pcbs_2019,74.84740317
2016,Females,Historic,NA,Palestine,78.73855958,NA,NA,NA,0.015619475,NA,NA,NA,lc_pcbs_2019,78.75417906
2016,Males,Historic,NA,Palestine,74.89062518,NA,NA,NA,0.104290922,NA,NA,NA,lc_pcbs_2019,74.9949161
2017,Females,Historic,NA,Palestine,78.94006065,NA,NA,NA,0.004287372,NA,NA,NA,lc_pcbs_2019,78.94434803
2017,Males,Historic,NA,Palestine,75.90275405,NA,NA,NA,0.06811754,NA,NA,NA,lc_pcbs_2019,75.97087159
2018,Females,Historic,NA,Palestine,79.53481833,NA,NA,NA,0.004804397,NA,NA,NA,lc_pcbs_2019,79.53962273
2018,Males,Historic,NA,Palestine,75.38691909,NA,NA,NA,0.328526661,NA,NA,NA,lc_pcbs_2019,75.71544575
2019,Females,Historic,NA,Palestine,79.14676305,NA,NA,NA,0.014321735,NA,NA,NA,lc_pcbs_2019,79.16108478
2019,Males,Historic,NA,Palestine,75.439133,NA,NA,NA,0.136860085,NA,NA,NA,lc_pcbs_2019,75.57599308
2020,Females,Historic,NA,Palestine,77.9899376,NA,NA,NA,0,NA,NA,NA,lc_pcbs_2019,77.9899376
2020,Males,Historic,NA,Palestine,74.03218608,NA,NA,NA,0.026887649,NA,NA,NA,lc_pcbs_2019,74.05907373
2021,Females,Historic,NA,Palestine,76.60529011,NA,NA,NA,0.075738937,NA,NA,NA,lc_pcbs_2019,76.68102904
2021,Males,Historic,NA,Palestine,72.7002301,NA,NA,NA,0.261488699,NA,NA,NA,lc_pcbs_2019,72.9617188
2022,Females,Historic,NA,Palestine,78.86882072,NA,NA,NA,0.014585799,NA,NA,NA,lc_pcbs_2019,78.88340652
2022,Males,Historic,NA,Palestine,74.9624996,NA,NA,NA,0.175516927,NA,NA,NA,lc_pcbs_2019,75.13801652
2012,Females,Historic,NA,West Bank,79.17085982,NA,NA,NA,0,NA,NA,NA,lc_pcbs_2019,79.17085982
2012,Males,Historic,NA,West Bank,75.04200599,NA,NA,NA,0.017714484,NA,NA,NA,lc_pcbs_2019,75.05972048
2013,Females,Historic,NA,West Bank,79.77046355,NA,NA,NA,0.002110012,NA,NA,NA,lc_pcbs_2019,79.77257357
2013,Males,Historic,NA,West Bank,75.73661729,NA,NA,NA,0.052072117,NA,NA,NA,lc_pcbs_2019,75.78868941
2014,Females,Historic,NA,West Bank,79.66959763,NA,NA,NA,0,NA,NA,NA,lc_pcbs_2019,79.66959763
2014,Males,Historic,NA,West Bank,75.98955721,NA,NA,NA,0.096262334,NA,NA,NA,lc_pcbs_2019,76.08581954
