"","region","cause","year","sex","age","mx_m","mx_l","mx_u"
"170","Palestine","noconflict","24","m",30,0.00054185865,0.000541799999999999,0.000541900000000001
"171","Palestine","noconflict","24","m",35,0.000822932225,0.0008229,0.000823000000000001
"172","Palestine","noconflict","24","m",40,0.0013657884625,0.0013657,0.0013658
"173","Palestine","noconflict","24","m",45,0.0019583868525,0.00195838,0.00195839
"174","Palestine","noconflict","24","m",50,0.004065652715,0.00406561,0.0040657
"175","Palestine","noconflict","24","m",55,0.0066894266925,0.00668938,0.00668947
"176","Palestine","noconflict","24","m",60,0.01295553465,0.0129555,0.0129556
"177","Palestine","noconflict","24","m",65,0.017997953325,0.0179979,0.017998
"178","Palestine","noconflict","24","m",70,0.0356036235,0.0356036,0.0356037
"179","Palestine","noconflict","24","m",75,0.032615194825,0.0326151,0.0326152
"180","Palestine","noconflict","24","m",80,0.1648238636725,0.1648234,0.1648243
"181","Palestine","noconflict","23_24","f",0,0.0112601121125,0.01126007,0.0112602
"182","Palestine","noconflict","23_24","f",1,0.0004277624275,0.0004277,0.000427800000000001
"183","Palestine","noconflict","23_24","f",5,0.0001805452975,0.0001805,0.000180600000000001
"184","Palestine","noconflict","23_24","f",10,0.00014422689,0.000144199999999999,0.0001443
"185","Palestine","noconflict","23_24","f",15,0.000163131543432999,0.000163126915932998,0.000163136915932999
"186","Palestine","noconflict","23_24","f",20,0.000294731402198257,0.000294726577198257,0.000294736577198258
"187","Palestine","noconflict","23_24","f",25,0.000310117867922152,0.000310115965422151,0.000310125965422152
"188","Palestine","noconflict","23_24","f",30,0.000367468150741844,0.000367401880741843,0.000367501880741845
"189","Palestine","noconflict","23_24","f",35,0.000690601410670431,0.000690566465670431,0.000690676465670432
"190","Palestine","noconflict","23_24","f",40,0.00069434062106838,0.00069430153606838,0.00069441153606838
"191","Palestine","noconflict","23_24","f",45,0.00122750530869886,0.00122746638119885,0.00122754638119885
"192","Palestine","noconflict","23_24","f",50,0.00237419134635102,0.00237414791385102,0.00237426791385102
"193","Palestine","noconflict","23_24","f",55,0.00406057293084619,0.00406053711084619,0.00406063711084619
"194","Palestine","noconflict","23_24","f",60,0.00745757516920032,0.00745753406920032,0.00745763406920032
"195","Palestine","noconflict","23_24","f",65,0.0112813667258832,0.0112812765508832,0.0112813765508832
"196","Palestine","noconflict","23_24","f",70,0.03067157065,0.0306715,0.0306716
"197","Palestine","noconflict","23_24","f",75,0.0358808025,0.0358808,0.0358808025
"198","Palestine","noconflict","23_24","f",80,0.127090184125,0.1270897,0.1270907
"199","Palestine","noconflict","23_24","m",0,0.0132643605375439,0.0132643102300439,0.0132644102300439
"200","Palestine","noconflict","23_24","m",1,0.000529162261634669,0.000529156626634668,0.00052916662663467
"201","Palestine","noconflict","23_24","m",5,0.00027359835914382,0.000273598239143819,0.000273598239143821
"202","Palestine","noconflict","23_24","m",10,0.00027428570931912,0.000274192889319119,0.000274322889319118
"203","Palestine","noconflict","23_24","m",15,0.000247249297896012,0.000247232022896012,0.000247332022896014
"204","Palestine","noconflict","23_24","m",20,0.000455418431738778,0.000455420756738775,0.000455420756738779
"205","Palestine","noconflict","23_24","m",25,0.000566408252647449,0.000566324877647448,0.000566424877647451
"206","Palestine","noconflict","23_24","m",30,0.000552066457590822,0.000551971857590822,0.000552071857590824
"207","Palestine","noconflict","23_24","m",35,0.000830797005377741,0.00083073933037774,0.000830839330377743
