"","region","cause","year","sex","age","dx_m","dx_l","dx_u","pop","mx_m","mx_l","mx_u"
"111","Gaza Strip","noconflict","23","f",5,37.2205356686282,37.2112116828545,37.2253335848218,141219.019669277,0.000263566025,0.0002635,0.000263600000000003
"112","Gaza Strip","noconflict","23","f",10,27.8389150385652,27.8282714068174,27.841912716331,136413.095131458,0.000204078025,0.000203999999999999,0.000204100000000002
"113","Gaza Strip","noconflict","23","f",15,23.7203057374853,23.7155317542749,23.7237739253125,117745.30053725,0.000201454373374172,0.000201413828374171,0.000201483828374171
"114","Gaza Strip","noconflict","23","f",20,29.9645519124385,29.9616691705927,29.967390315412,95352.4136524491,0.000314250586478667,0.000314220353978666,0.000314280353978667
"115","Gaza Strip","noconflict","23","f",25,29.2333050461182,29.2319336498767,29.241350963123,94173.1324618342,0.000310420862956488,0.000310406300456487,0.000310506300456488
"116","Gaza Strip","noconflict","23","f",30,36.2345922231563,36.2283159202495,36.2370755893447,87596.690949135,0.000413652523063876,0.000413580873063873,0.000413680873063876
"117","Gaza Strip","noconflict","23","f",35,52.1899168407001,52.1895814480454,52.1962228867477,66414.3870212199,0.000785822457775978,0.000785817407775976,0.000785917407775978
"118","Gaza Strip","noconflict","23","f",40,44.8686881421794,44.8642291920188,44.8693164141074,50872.2208847659,0.000881987995841866,0.000881900345841865,0.000882000345841868
"119","Gaza Strip","noconflict","23","f",45,56.0856198693661,56.0854214446332,56.0896209098777,41994.6524437188,0.00133554194654979,0.00133553722154979,0.00133563722154979
"120","Gaza Strip","noconflict","23","f",50,81.7484074059595,81.7460960038843,81.7492731888675,31771.8498306141,0.00257298230483231,0.00257290955483231,0.00257300955483231
"121","Gaza Strip","noconflict","23","f",55,132.310416131826,132.309582652195,132.312310899761,27282.4756544445,0.00484964846327178,0.00484961791327178,0.00484971791327178
"122","Gaza Strip","noconflict","23","f",60,161.558131417013,161.55692946713,161.558989364102,20598.9697152355,0.00784301999810801,0.007842961648108,0.00784306164810801
"123","Gaza Strip","noconflict","23","f",65,236.51753076549,236.51633979739,236.517771679687,14318.8229710804,0.0165179450324362,0.0165178618574362,0.0165179618574362
"124","Gaza Strip","noconflict","23","f",70,344.825717553513,344.825321343246,344.826358542897,10371.9965031146,0.0332458382,0.0332458,0.0332459
"125","Gaza Strip","noconflict","23","f",75,296.646597532629,296.646361695046,296.647034075895,6723.8084828927,0.044118835075,0.0441188,0.0441189
"126","Gaza Strip","noconflict","23","f",80,609.646325622739,609.644247197221,609.648201082162,4393.20548993528,0.1387702731,0.1387698,0.1387707
"127","Gaza Strip","noconflict","23","m",0,475.212569741916,475.210263691508,475.214115278889,35014.4307293542,0.0135719062067608,0.0135718403467608,0.0135719503467608
"128","Gaza Strip","noconflict","23","m",1,81.288442295217,81.2836322973755,81.2974313301272,137990.327515304,0.000589087972750856,0.000589053115250856,0.000589153115250857
"129","Gaza Strip","noconflict","23","m",5,52.0623865302347,52.0603511269206,52.0750737548694,147226.279486462,0.000353621559356338,0.000353607734356337,0.000353707734356338
"130","Gaza Strip","noconflict","23","m",10,49.4366391914877,49.4273497553082,49.4416028219435,142530.666351917,0.000346849141008193,0.000346783966008192,0.000346883966008193
"131","Gaza Strip","noconflict","23","m",15,36.1104226150897,36.1096508630999,36.1219496995871,122988.364870762,0.000293608445425183,0.000293602170425181,0.000293702170425183
"132","Gaza Strip","noconflict","23","m",20,48.3146293803894,48.3144525478439,48.3144525478442,99623.9693056929,0.00048496992959734,0.000484968154597339,0.000484968154597343
"133","Gaza Strip","noconflict","23","m",25,73.6372336625402,73.6322109795167,73.6418932600442,96822.8052721822,0.000760536047840546,0.000760484172840546,0.000760584172840549
"134","Gaza Strip","noconflict","23","m",30,62.4676922208833,62.4629673945062,62.4718905793545,89231.8484809371,0.000700060497281175,0.000700007547281174,0.000700107547281177
"135","Gaza Strip","noconflict","23","m",35,73.2570836198493,73.2571567250282,73.2571567250284,66459.2537044691,0.00110228567936692,0.00110228677936692,0.00110228677936692
"136","Gaza Strip","noconflict","23","m",40,71.8298268762657,71.8287018020012,71.8337021320651,50003.3006379917,0.00143650171008292,0.00143647921008292,0.00143657921008292
"137","Gaza Strip","noconflict","23","m",45,85.1074974645572,85.1064663535406,85.1106608456249,41944.9208426058,0.00202902987429431,0.00202900529179431,0.00202910529179431
"138","Gaza Strip","noconflict","23","m",50,139.738188805435,139.737166617751,139.74037851935,32119.0159938938,0.00435063729324711,0.00435060546824711,0.00435070546824711
"139","Gaza Strip","noconflict","23","m",55,206.660735345485,206.658958190834,206.661831520908,28733.3007370737,0.00719237713886579,0.00719231528886579,0.00719241528886579
"140","Gaza Strip","noconflict","23","m",60,325.794147227348,325.793162968244,325.795308492176,21455.2393252748,0.0151848293224841,0.0151847834474841,0.0151848834474841
"141","Gaza Strip","noconflict","23","m",65,274.220191620015,274.219753546526,274.2211214575,13679.1097417456,0.0200466402271163,0.0200466082021163,0.0200467082021163
"142","Gaza Strip","noconflict","23","m",70,374.176618829976,374.176531029303,374.17747259148,9415.62176254364,0.0397399798193351,0.039739970494335,0.0397400704943351
"143","Gaza Strip","noconflict","23","m",75,194.929100956828,194.928617873099,194.929158840321,5409.67221954372,0.0360334402983974,0.0360333509983974,0.0360334509983974
"144","Gaza Strip","noconflict","23","m",80,630.028435527808,630.02701849904,630.029816340078,3108.7122638576,0.202665406783581,0.202664950958581,0.202665850958581
"145","Gaza Strip","noconflict","23","t",0,881.443497417517,881.440429911392,881.447308472624,68785.6123186835,0.0128143585221542,0.0128143139269835,0.0128144139269835
"146","Gaza Strip","noconflict","23","t",1,153.299926532428,153.291313874262,153.318420554691,271066.804279094,0.000565542973585905,0.000565511200391884,0.000565611200391885
"147","Gaza Strip","noconflict","23","t",5,89.2829221988629,89.2715628097751,89.300407339691,288445.299155739,0.000309531555758365,0.000309492174325833,0.000309592174325835
"148","Gaza Strip","noconflict","23","t",10,77.2755542300528,77.2556211621256,77.2835155382745,278943.761483375,0.000277029153902258,0.000276957694810213,0.000277057694810215
"149","Gaza Strip","noconflict","23","t",15,59.8307283525749,59.825182617375,59.8421912658839,240733.665408012,0.000248534945252338,0.000248511908444459,0.000248582561830142
"150","Gaza Strip","noconflict","23","t",20,78.2791812928279,78.2761217184368,78.2837499115288,194976.382958142,0.000401480323438112,0.00040146463141252,0.00040150375508984
"151","Gaza Strip","noconflict","23","t",25,102.870538708658,102.864144629393,102.883244223167,190995.937734016,0.000538600663077543,0.000538567185510738,0.000538667185510738
"152","Gaza Strip","noconflict","23","t",30,98.7022844440396,98.691283314756,98.7089661686992,176828.539430072,0.000558180736900064,0.000558118523360784,0.000558218523360785
"153","Gaza Strip","noconflict","23","t",35,125.447000460549,125.446738173074,125.453379611776,132873.640725689,0.0009441074977356,0.000944105523773916,0.000944155506890704
"154","Gaza Strip","noconflict","23","t",40,116.698515018445,116.69293099402,116.703018546173,100875.521522758,0.00115685662147598,0.00115680126588187,0.00115690126588187
"155","Gaza Strip","noconflict","23","t",45,141.193117333923,141.191887798174,141.196087263418,83939.5732863246,0.00168208047534745,0.00168206582747993,0.00168211585710339
"156","Gaza Strip","noconflict","23","t",50,221.486596211394,221.483262621635,221.489651708218,63890.865824508,0.00346663945390507,0.00346658727759291,0.00346668727759292
"157","Gaza Strip","noconflict","23","t",55,338.971151477311,338.968540843029,338.974142420668,56015.7763915182,0.00605135148191282,0.00605130487657322,0.00605140487657322
"158","Gaza Strip","noconflict","23","t",60,487.352278644361,487.350092435374,487.354297856278,42054.2090405103,0.0115886682870411,0.0115886163015434,0.0115887163015435
